group,model,rmse,mae,mape,file_index
NCMNCACY25-05_4,Informer,0.01382943,0.010517492,0.535210734,2
NCMNCACY25-05_4,Informer,0.064191654,0.062690996,3.0917475,3
NCMNCACY25-05_4,Informer,0.017559446,0.013893046,0.668746326,4
NCMNCACY25-05_4,Informer,0.01854207,0.014507123,0.770338718,5
NCMNCACY25-05_4,Informer,0.012942005,0.009749291,0.500500482,6
NCMNCACY25-05_4,Informer,0.031116387,0.029551515,1.480968017,7
NCMNCACY25-05_4,Informer,0.032168522,0.026864082,1.283428539,8
NCMNCACY25-05_4,Informer,0.016914405,0.013325436,0.699741626,9
LSD,IMOE,0.039921224,0.028514087,1.838156581,0
LSD,IMOE,0.038270865,0.027526703,1.773436554,1
LSD,IMOE,0.038183752,0.027644372,1.784926094,2
LSD,IMOE,0.0428413,0.031736474,2.062053233,3
LSD,IMOE,0.040971644,0.02951146,1.920318417,4
LSD,IMOE,0.03539514,0.025006378,1.621225104,5
LSD,IMOE,0.037891123,0.026673716,1.713822596,6
LSD,IMOE,0.04073399,0.028458938,1.822458208,7
LSD,IMOE,0.03687443,0.025960585,1.670850255,8
LSD,IMOE,0.041497335,0.031027092,2.005918697,9
LSD,PATCHTST,0.050241396,0.038306758,2.416681685,0
LSD,PATCHTST,0.043995447,0.03445861,2.259015106,1
LSD,PATCHTST,0.046512056,0.03604862,2.315004542,2
LSD,PATCHTST,0.050027803,0.037796378,2.380036749,3
LSD,PATCHTST,0.048845664,0.036658492,2.308798954,4
LSD,PATCHTST,0.046168115,0.03533992,2.260021307,5
LSD,PATCHTST,0.04332516,0.033619273,2.163105272,6
LSD,PATCHTST,0.042109355,0.032303758,2.095832117,7
LSD,PATCHTST,0.05832734,0.04494776,2.785726637,8
LSD,PATCHTST,0.04633049,0.03635534,2.37496458,9
LSD,Informer,0.0528147,0.042788107,2.666177414,0
LSD,Informer,0.046781298,0.037436567,2.360240743,1
LSD,Informer,0.059379376,0.047415048,2.917515859,2
LSD,Informer,0.06343219,0.05319563,3.396624699,3
LSD,Informer,0.045162432,0.036608666,2.313403785,4
LSD,Informer,0.05988167,0.047909547,2.923673019,5
LSD,Informer,0.04585653,0.03552847,2.294102497,6
LSD,Informer,0.039597474,0.03131984,1.955007948,7
LSD,Informer,0.063195735,0.052817374,3.382683173,8
LSD,Informer,0.051176917,0.042031173,2.588520385,9
Random,IMOE,0.049031705,0.036293086,2.645173296,0
Random,IMOE,0.055815578,0.04135707,2.971374057,1
Random,IMOE,0.057740472,0.03977838,2.878102474,2
Random,IMOE,0.054159734,0.03747182,2.750616334,3
Random,IMOE,0.061420772,0.041381486,3.035083227,4
Random,IMOE,0.060181767,0.04131409,2.964852937,5
Random,IMOE,0.049720507,0.035761144,2.578690648,6
Random,IMOE,0.056121774,0.038865935,2.857938223,7
Random,IMOE,0.05441218,0.03634467,2.661482431,8
Random,IMOE,0.053649344,0.037170764,2.720497549,9
Random,PATCHTST,0.28927755,0.23154062,16.43962264,0
Random,PATCHTST,0.2885052,0.23395121,16.11105651,1
Random,PATCHTST,0.28905153,0.22988793,16.44687206,2
Random,PATCHTST,0.2886204,0.23092262,16.34314805,3
Random,PATCHTST,0.2875282,0.22985514,16.16715342,4
Random,PATCHTST,0.2876834,0.23027442,16.2082985,5
Random,PATCHTST,0.30189762,0.23735416,17.23672897,6
Random,PATCHTST,0.28763857,0.23319852,16.10662192,7
Random,PATCHTST,0.28762463,0.23123471,16.1847055,8
Random,PATCHTST,0.28792125,0.23066697,16.25107229,9
Random,Informer,0.29099146,0.23291568,16.5053159,0
Random,Informer,0.28983468,0.2310448,16.42548144,1
Random,Informer,0.2936132,0.23102902,16.6863516,2
Random,Informer,0.28937647,0.23520371,16.53626859,3
Random,Informer,0.2914297,0.2290913,16.17800742,4
Random,Informer,0.28879824,0.23248759,16.35885239,5
Random,Informer,0.29364866,0.22848548,16.60363674,6
Random,Informer,0.29067856,0.23360561,16.40731692,7
